label,x,y,z,r
1,15.119679291807817,11.483744129608661,40.67886769758143,6.032558218293002
2,10.792123939127965,6.768347593486832,13.611145911135914,6.303174266744178
3,16.15797422527294,8.576488943979815,27.05284229869516,4.459269474601463
4,7.054107799860146,19.127677574708606,45.17771512988987,2.966449154150635
5,11.375708038246223,5.656348033013709,3.191364200145191,2.627406173878074
6,18.624479435042844,11.678894265039345,5.276150540871405,2.8594489336421534
7,3.889758392110221,11.317519551354497,42.98563535067389,2.446694346049755
8,14.528799468094583,18.554936468661463,26.707149549830234,4.060872482108158
9,15.851545397134565,12.330149365699839,20.758551628187426,2.3786392762787756
10,13.453780705846603,15.051997667044507,8.738543708511415,3.055095500241634
11,18.605309985074996,6.370080459277213,19.425917587601266,2.695469749487742
12,21.60819505679095,12.108373439662746,11.297176340961235,3.163058359929205
13,5.410610907751054,18.23664385190046,17.262798108628058,3.085031634324314
14,7.684351889624827,8.397929056298187,24.049626462945145,3.8396371640860223
15,14.545853006731708,2.9318027118598184,44.07412434790427,2.393687823053944
16,7.497166619586376,12.655680885689153,32.55971803420755,3.186208222637699
17,7.632109264306483,17.75021587734239,5.791684442028583,3.2255977102542612
18,16.755055935864043,20.44005830221106,5.879282791491919,3.202227806026462
19,21.652027941199034,14.362784066449457,31.308392934400885,2.7815813725797796
20,3.7477138711779876,12.614199862716417,4.708419942063092,2.5682075239487854
21,3.5466443907994445,14.639605516027713,26.68077586723216,2.952353516567346
22,8.915162662944152,5.139012773310764,35.74827039835515,2.6026076361312063
23,11.397130394159152,21.53029251797313,33.792369058032776,2.3961736179281643
24,15.216712243360536,19.10141925120879,17.826145770840775,2.6356815156589657
25,19.812116221338908,15.487223725605622,20.64921551355597,2.3755077821317285
26,5.754198654258483,5.624243367184969,5.662093195098023,2.485621715236319
27,11.174262981168848,22.009902896343814,12.911580663282358,2.4878069861776884
28,4.3046055319478524,16.253862425844325,37.68289620124705,2.587956981200933
29,7.440894864225411,12.47880294474539,47.25013146041557,2.4807999302779096
30,18.245265236762815,19.59633043953938,46.694699449374745,2.914570333162011
31,18.920580873464772,18.211646299310104,12.339775090856818,2.5344008048611903
32,13.7567133395505,21.241682490549675,43.34258315603098,2.619170465880352
33,14.685538168784786,3.119247332133479,32.805248080931555,2.3787038557123203
34,7.231879143901421,6.894745263472182,43.3790041022431,2.5952779940914055
35,9.026187087473126,10.959025679582501,4.664514911771322,2.477287925989645
36,17.115110165935484,4.45493214442807,5.22507801949269,2.710672908646213
37,18.34597187386865,19.888269030245816,40.719514035934885,2.382752275533294
38,8.384722470811845,20.51247883946977,23.471994067134737,2.751108443088923
39,3.8113684354350363,15.659045183247022,11.918325395181235,2.571591488482914
40,8.529914241899627,19.605057062255028,37.569716851127474,2.424397617189968
41,21.508251796672916,10.830978471192152,17.891497910529562,2.3906672311978063
42,7.674821939798523,18.491184065386726,31.381539747730287,2.4329549623767504
43,9.715298707905287,4.194554871740391,29.63819302041324,3.0203741090987317
44,17.35478283799922,17.567661173566403,34.01986667095455,2.6377410587574417
45,14.159831883290611,15.732727622238402,2.8643990714763143,2.4937506203158497
46,4.317825741814244,12.219577186186687,19.167444847946513,2.7766095162979587
47,14.108413599766997,3.1606770481405784,22.539499980489563,2.4321935540648747
48,21.38346536851503,8.978413987995356,32.45628227463582,2.4344027527200005
49,9.825717691075628,14.44421639813071,22.190712021501724,2.468329287244335
50,3.1782204215116487,10.767586259849999,37.28318455116178,2.6540775708268294
51,20.07796205331882,6.2433122408971915,10.380252738057393,2.449502435343588
52,17.748417361745414,14.12109607712063,16.18028758383414,2.399533719457092
53,21.820352107192434,14.078531350779286,46.137241698613614,2.3803889178742343
54,18.648925493136197,5.820944972639891,46.903594905092724,2.6274619900972738
55,12.039964013196524,16.263903466951916,14.381428143573155,2.5023148015172607
56,19.652170127128542,15.010634819581266,26.400997155264044,1.718443855646638
57,21.581136918536334,17.259824481136093,24.490033820504127,1.6386147329374525
58,16.425387429378514,21.994086932862402,36.183636017500014,1.2576752211447433
59,7.078377235864014,19.92297038378622,11.390985014964155,1.4477450005689891
60,8.295933871410261,14.772919076853164,43.38814356250891,1.2984684147869077
61,12.715799868624241,22.897266508067236,38.65837847661981,1.5756195811740088
62,5.102457314895267,6.0805964133064,31.841265745667314,1.9182051455827938
63,19.39510426846784,4.493683422453293,37.32634632959607,1.2723889165657103
64,10.605311623848612,13.356327072039909,1.8873747793511586,1.2963806837519583
65,11.373024544381,7.099667481397259,45.865870719306756,1.3133334782184567
66,13.59462169201387,22.876307593906947,20.960020422354496,1.3312965746590528
67,11.799857139701272,16.912029397040154,32.55373618135583,1.6352755633704763
68,2.338651197766903,8.977827695947715,25.2863290143712,1.393122428557719
69,7.68474445161135,16.613065185168814,26.282864769814683,1.3143102238946698
70,4.420099820302253,7.4693694953305965,19.568247795805444,1.5032426740044138
71,19.15711886297063,19.828216522401128,21.027141188693655,1.7577474372588848
72,18.259739810782627,7.922178208860095,2.479546671316962,1.5486984557314465
73,22.82724551598149,10.470800231429184,26.713941394817635,1.5413265269646659
74,7.919351215185774,8.073942515527158,47.842584784300094,1.2913085058432536
75,13.725779676513936,1.7738450822943008,29.276958876438762,1.3120657950456305
76,13.257734536072022,18.9737848446417,48.212876492253436,1.5769802828189023
77,13.453961873438814,9.396161914311879,4.061900782732425,1.2342024144098434
78,12.241463807787381,8.896888625330007,33.25400871900806,1.7871260023482498
79,18.637500864984872,5.152383452603207,32.38860992679798,1.6718943088214235
80,5.568148537691734,7.311816913357222,38.3407457791888,1.4400233929349
